animal,category,cut_id,display_name_en,display_name_es_es,display_name_es_ar,display_name_fi,aliases,zone,recommended_methods,difficulty,target_temp_c,estimated_time_min_per_cm,estimated_total_time_min,rest_time_min,recommended_doneness,cutting_direction,safety_note,quick_pick_tags,notes,cooking_style,fire_zone,time_type,default_doneness,input_profile_id,confidence_level,critical_mistake,pro_tip,texture_result,setup_visual_key
beef,steak,ribeye,Ribeye,entrecot,ojo de bife,entrecôte,ribeye; rib eye; cube roll; ojo de bife; entrecot,rib,direct grill; reverse sear; hot pan,2,52-55,3-4,,5,medium rare; medium,slice against the grain in 1 cm strips,,premium; quick; easy,Fatty premium steak.,fast,direct,per_cm,medium_rare,beef-steak,high,failing to render the cap fat side first,flip every 45 to 60 seconds for even browning,juicy center with a deep crust and rendered edge,two zone fire and cast iron grate at high heat
beef,steak,striploin,Striploin,lomo bajo,bife de chorizo,ulkofilee,striploin; New York strip; sirloin steak UK; bife de chorizo,loin,direct grill; reverse sear; hot pan,2,52-55,3-4,,5,medium rare; medium,slice against the grain on a slight bias,,premium; quick,Classic steakhouse cut.,fast,direct,per_cm,medium_rare,beef-steak,medium,overcooking the lean eye before fat renders,start fat edge down then turn frequently,firm beef bite with pink core and crisp fat rim,fully preheated direct zone plus warm resting area
beef,steak,tenderloin,Tenderloin,solomillo,lomo,sisäfilee,tenderloin; filet; fillet; filet mignon; solomillo,loin,direct grill; hot pan; reverse sear,2,50-54,2-3,,5,rare; medium rare,slice medallions against the grain,,premium; easy,Very tender and lean.,fast,direct,per_cm,rare,beef-steak,medium,using aggressive heat too long on lean meat,sear hard then finish gently to target temp,buttery soft bite with thin crust and low chew,hot sear zone and cooler finishing zone with probe ready
beef,steak,picanha,Picanha,tapa de cuadril,tapa de cuadril,picanha,picanha; rump cap; sirloin cap; coulotte; tapa de cuadril,rump,direct grill; rotisserie; reverse sear,2,52-56,3-4,,5,medium rare; medium,slice with grain into steaks then serve against grain,,premium; grill,Keep fat cap intact.,fatcap,mixed,per_cm,medium_rare,beef-steak,high,scoring too deep and losing fat cap juices,render fat cap slowly then finish on direct heat,rich slices with rendered cap and springy bite,mixed setup with indirect rendering side and direct finish side
beef,steak,bavette,Bavette / Flap Steak,vacío,vacío,kuve,bavette; vacío; flap steak; flap meat; sirloin flap,flank,direct grill; hot pan,3,52-55,2-3,,5,medium rare,slice sharply against the grain on a bias,,argentinian; quick,Fibrous and flavorful.,fast,direct,per_cm,medium_rare,beef-steak,medium,cutting with the grain and making long chewy fibers,rest then slice thin angled strips under 1 cm,loose fibrous texture that stays juicy when cut right,very hot direct zone and short cook only
beef,steak,skirt_steak,Skirt Steak,entraña,entraña,pallealiha,entraña; skirt steak; outside skirt; inside skirt; falda,diaphragm,direct grill; very hot sear,3,52-55,2-3,,5,medium rare,against the grain,,argentinian; quick,Fast hot sear.,fast,direct,per_cm,medium_rare,beef-steak,medium
beef,steak,flank_steak,Flank Steak,falda,vacío fino,kuve,flank steak; falda; London broil,flank,direct grill; marinade; hot pan,3,52-55,3-4,,5,medium rare,against the grain,,quick; lean,Marinade helps tenderness.,fast,direct,per_cm,medium_rare,beef-steak,medium
beef,steak,flat_iron,Flat Iron,espaldilla plana,marucha,lapa,flat iron; top blade steak; marucha,shoulder,direct grill; hot pan,2,52-55,3-4,,5,medium rare; medium,against the grain,,quick; value,Tender if cleaned well.,fast,direct,per_cm,medium_rare,beef-steak,medium
beef,roast,tri_tip,Tri-Tip,culatín de contra,colita de cuadril,tri-tip,tri-tip; maminha; colita de cuadril,sirloin,reverse sear; smoke; indirect grill,3,54-58,4-5,,10,medium rare; medium,grain changes direction; slice accordingly,,bbq; value,Great for indirect grilling.,low_slow,mixed,per_cm,medium_rare,beef-large,medium
beef,steak,hanger_steak,Hanger Steak,solomillo de pulmón,entraña gruesa,pallealiha,hanger steak; onglet; butcher's steak,diaphragm,direct grill; hot pan,3,52-55,2-3,,5,medium rare,against the grain,,quick; bold,Strong beef flavor.,fast,direct,per_cm,medium_rare,beef-steak,medium
beef,steak,denver_steak,Denver Steak,denver steak,bife denver,denver steak,Denver steak; under blade steak,chuck,direct grill; reverse sear,2,52-55,3-4,,5,medium rare; medium,against the grain,,premium; value,Modern chuck steak.,fast,direct,per_cm,medium_rare,beef-steak,medium
beef,steak,chuck_eye,Chuck Eye,entrecot de aguja,bife de aguja,etuselkäpihvi,chuck eye; poor man's ribeye,chuck,direct grill; reverse sear,3,52-55,3-4,,5,medium rare; medium,against the grain,,value,Ribeye-like but less consistent.,fast,direct,per_cm,medium_rare,beef-steak,medium
beef,steak,top_sirloin,Top Sirloin,solomillo bajo,bife de cuadril,paahtopaisti,top sirloin; cuadril,sirloin,direct grill; reverse sear,3,54-58,4-5,,5,medium rare; medium,against the grain,,lean; value,Lean and versatile.,fast,direct,per_cm,medium_rare,beef-steak,medium
beef,steak,rump_steak,Rump Steak,cadera,cuadril,paisti,rump steak; cuadril; cadera,rump,direct grill; hot pan,3,54-58,4-5,,5,medium rare; medium,against the grain,,lean; value,Do not overcook.,fast,direct,per_cm,medium_rare,beef-steak,medium
beef,steak,t_bone,T-Bone,t-bone,bife con lomo,t-luupihvi,T-bone; porterhouse,loin,direct grill; reverse sear,3,52-55,4-5,,5,medium rare; medium,separate muscles then slice against grain,,premium,Bone causes uneven cooking.,reverse,direct,per_cm,medium_rare,beef-steak,medium
